country	region
Iraq	Diyala
Iraq	Erbil
Iraq	Kerbala
Iraq	Kirkuk
Iraq	Missan
Iraq	Najaf
Iraq	Ninewa
Iraq	Salah Al-Din
Iraq	Thi-Qar
Iraq	Wassit
Ireland	Clare
Ireland	Cork
Ireland	Donegal
Ireland	Dublin
Ireland	Galway
Ireland	Kerry
Ireland	Kildare
Ireland	Limerick
Ireland	Louth
Ireland	Mayo
Ireland	Meath
Ireland	Tipperary
Ireland	Waterford
Ireland	Westmeath
Ireland	Wexford
Ireland	Wicklow
Israel	HaDarom
Israel	Haifa
Israel	HaMerkaz
Israel	HaZafon
Israel	Jerusalem
Israel	Tel Aviv
Italy	Abruzzo
Italy	Basilicata
Italy	Calabria
Italy	Campania
Italy	Emilia-Romagna
Italy	Friuli-Venezia Giulia
Italy	Lazio
Italy	Liguria
Italy	Lombardia
Italy	Marche
Italy	Molise
Italy	Piemonte
Italy	Puglia
Italy	Sardegna
Italy	Sicilia
Italy	Toscana
Italy	Trentino-Alto Adige
Italy	Umbria
Italy	Valle d'Aosta
Italy	Veneto
Japan	Aichi
Japan	Akita
Japan	Aomori
Japan	Chiba
Japan	Ehime
Japan	Fukui
Japan	Fukuoka
Japan	Fukushima
Japan	Gifu
Japan	Gunma
Japan	Hiroshima
Japan	Hokkaido
Japan	Hyōgo
Japan	Ibaraki
Japan	Ishikawa
Japan	Iwate
Japan	Kagawa
Japan	Kagoshima
Japan	Kanagawa
Japan	Kochi
Japan	Kumamoto
Japan	Kyoto
Japan	Mie
Japan	Miyagi
Japan	Miyazaki
Japan	Nagano
Japan	Nagasaki
Japan	Nara
Japan	Niigata
Japan	Oita
Japan	Okayama
Japan	Okinawa
Japan	Osaka
Japan	Saga
Japan	Saitama
Japan	Shiga
Japan	Shimane
Japan	Shizuoka
Japan	Tochigi
Japan	Tokushima
Japan	Tokyo
Japan	Tottori
Japan	Toyama
Japan	Wakayama
Japan	Yamagata
Japan	Yamaguchi
Japan	Yamanashi
Jordan	Amman
Jordan	Balqa
Jordan	Irbid
Jordan	Mafraq
Jordan	Zarqa
Kazakhstan	Almaty
Kazakhstan	Atyrau
Kazakhstan	Nur-Sultan (Astana)
Kazakhstan	Qaraghandy
Kenya	Bungoma
Kenya	Kajiado
Kenya	Kakamega
Kenya	Kiambu
Kenya	Kisii
Kenya	Kisumu
Kenya	Machakos
Kenya	Mombasa
Kenya	Nairobi
Kenya	Nakuru
Kenya	Nyeri
Kenya	Uasin Gishu
Kuwait	Al Ahmadi
Kuwait	Al Farwaniyah
Kuwait	Hawalli
Kyrgyzstan	Biškek
Laos	Vientiane
Lebanon	Beirut
Lebanon	Mount Lebanon
Lebanon	South
Libya	Benghazi
Libya	Misratah
Libya	Tripoli
Madagascar	Analamanga
Malaysia	Johor
Malaysia	Kedah
Malaysia	Kelantan
Malaysia	Kuala Lumpur
Malaysia	Melaka
Malaysia	Negeri Sembilan
Malaysia	Pahang
Malaysia	Perak
Malaysia	Pulau Pinang
Malaysia	Sabah
Malaysia	Sarawak
Malaysia	Selangor
Malaysia	Terengganu
Mali	Bamako
Mauritania	Nouakchott
Mexico	Aguascalientes
Mexico	Baja California
Mexico	Baja California Sur
Mexico	Campeche
Mexico	Chiapas
Mexico	Chihuahua
Mexico	Coahuila
Mexico	Colima
Mexico	Distrito Federal
Mexico	Distrito Federal (Mexico)
Mexico	Durango
Mexico	Guanajuato
Mexico	Guerrero
Mexico	Hidalgo
Mexico	Jalisco
Mexico	México
Mexico	Michoacán
Mexico	Morelos
Mexico	Nayarit
Mexico	Nuevo León
Mexico	Oaxaca
Mexico	Puebla
Mexico	Querétaro
Mexico	Quintana Roo
Mexico	San Luis Potosí
Mexico	Sinaloa
Mexico	Sonora
Mexico	Tabasco
Mexico	Tamaulipas
Mexico	Tlaxcala
Mexico	Veracruz
Mexico	Yucatán
Mexico	Zacatecas
Moldova	Chişinău
Morocco	Casablanca-Settat
Morocco	Fès-Meknès
Morocco	Marrakesh-Safi
Morocco	Oriental
Morocco	Rabat-Salé-Kénitra
Morocco	Souss-Massa
Morocco	Tanger-Tetouan-Al Hoceima
Mozambique	Gaza
Mozambique	Maputo
Mozambique	Maputo City
Myanmar	Mandalay
Myanmar	Shan
Myanmar	Yangon
Nepal	Bagmati Pradesh
Nepal	Gandaki Pradesh
Nepal	Karnali Pradesh
Nepal	Province No. 1
Nepal	Province No. 2
Nepal	Province No. 5
Nepal	Sudurpashchim Pradesh
Netherlands	Drenthe
Netherlands	Flevoland
Netherlands	Friesland
Netherlands	Gelderland
Netherlands	Groningen
Netherlands	Limburg
Netherlands	Noord-Brabant
Netherlands	Noord-Holland
Netherlands	Overijssel
Netherlands	Utrecht
Netherlands	Zeeland
Netherlands	Zuid-Holland
New Zealand	Auckland
New Zealand	Bay of Plenty
New Zealand	Canterbury
New Zealand	Canterbury (New Zealand)
New Zealand	Hawke's Bay
New Zealand	Manawatu-Wanganui
New Zealand	Marlborough
New Zealand	Northland
New Zealand	Otago
New Zealand	Southland
New Zealand	Taranaki
New Zealand	Waikato
New Zealand	Wellington
Nicaragua	Atlántico Sur
Nicaragua	Carazo
Nicaragua	Chinandega
Nicaragua	Estelí
Nicaragua	León
Nicaragua	Managua
Nicaragua	Masaya
Nicaragua	Matagalpa
Nigeria	Adamawa
Nigeria	Akwa Ibom
Nigeria	Bauchi
Nigeria	Borno
Nigeria	Edo
Nigeria	Federal Capital Territory
Nigeria	Imo
Nigeria	Kaduna
Nigeria	Kano
Nigeria	Katsina
Nigeria	Kwara
Nigeria	Lagos
Nigeria	Ogun
Nigeria	Osun
Nigeria	Oyo
Nigeria	Rivers
Norway	Agder
Norway	Innlandet
Norway	Møre og Romsdal
Norway	Nordland
Norway	Oslo
Norway	Rogaland
Norway	Troms og Finnmark
Norway	Trøndelag
Norway	Vestfold og Telemark
Norway	Vestland
Norway	Viken
Oman	Muscat
Pakistan	AJK (Azad Jammu Kashmir)
Pakistan	BA (Balochistan)
Pakistan	ICT (Islamabad Capital Territory)
Pakistan	KPK (Khyber Pakhtunkhwa)
Pakistan	PB (Punjab)
Pakistan	SD (Sindh)
Palestine	Gaza
Palestine	West Bank
Panama	Chiriquí
Panama	Panamá
Panama	Panamá Oeste
Paraguay	Alto Paraná
Paraguay	Asunción
Paraguay	Caaguazú
Paraguay	Central
Paraguay	Itapúa
Peru	Amazonas
Peru	Ancash
Peru	Arequipa
Peru	Cajamarca
Peru	Callao
Peru	Cusco
Peru	Huánuco
Peru	Ica
Peru	Junín
Peru	La Libertad
Peru	Lambayeque
Peru	Lima
Peru	Lima Province
Peru	Loreto
Peru	Moquegua
Peru	Piura
Peru	Puno
Peru	San Martín
Peru	Tacna
Peru	Tumbes
Peru	Ucayali
Philippines	Bangsamoro Autonomous Region in Muslim Mindanao
Philippines	Bicol Region
Philippines	Cagayan Valley
Philippines	Calabarzon
Philippines	Caraga
Philippines	Central Luzon
Philippines	Central Visayas
Philippines	Cordillera Admin Region
Philippines	Davao Region
Philippines	Eastern Visayas
Philippines	Ilocos Region
Philippines	Mimaropa
Philippines	National Capital Region
Philippines	Northern Mindanao
Philippines	Soccsksargen
Philippines	Western Visayas
Philippines	Zamboanga Peninsula
Poland	Dolnośląskie
Poland	Kujawsko-Pomorskie
Poland	Łódzkie
Poland	Lubelskie
Poland	Lubuskie
Poland	Małopolskie
Poland	Mazowieckie
Poland	Opolskie
Poland	Podkarpackie
Poland	Podlaskie
Poland	Pomorskie
Poland	Śląskie
Poland	Świętokrzyskie
Poland	Warmińsko-Mazurskie
Poland	Wielkopolskie
Poland	Zachodniopomorskie
Portugal	Aveiro
Portugal	Azores
Portugal	Beja
Portugal	Braga
Portugal	Bragança
Portugal	Castelo Branco
Portugal	Coimbra
Portugal	Évora
Portugal	Faro
Portugal	Leiria
Portugal	Lisboa
Portugal	Madeira
Portugal	Portalegre
Portugal	Porto
Portugal	Santarém
Portugal	Setúbal
Portugal	Viana do Castelo
Portugal	Viseu
Puerto Rico, U.S.	Arecibo
Puerto Rico, U.S.	Bayamón
Puerto Rico, U.S.	Caguas
Puerto Rico, U.S.	Carolina
Puerto Rico, U.S.	Guaynabo
Puerto Rico, U.S.	Mayagüez
Puerto Rico, U.S.	Ponce
Puerto Rico, U.S.	San Juan
Puerto Rico, U.S.	San Juan (Puerto Rico, U.S.)
Puerto Rico, U.S.	Toa Baja
Qatar	Al Doha
Qatar	Al Rayyan
Romania	Alba
Romania	Arad
Romania	Argeș
Romania	Bacău
Romania	Bihor
Romania	Bistrița-Năsăud
Romania	Botoșani
Romania	Brăila
Romania	Brașov
Romania	Bucharest
Romania	Buzău
Romania	Călărași
Romania	Caraș-Severin
Romania	Cluj
Romania	Constanța
Romania	Covasna
Romania	Dâmbovița
Romania	Dolj
Romania	Galați
Romania	Giurgiu
Romania	Gorj
Romania	Harghita
Romania	Hunedoara
Romania	Ialomița
Romania	Iași
Romania	Ilfov
Romania	Maramureș
Romania	Mureș
Romania	Neamț
Romania	Olt
Romania	Prahova
Romania	Satu Mare
Romania	Sibiu
Romania	Suceava
Romania	Teleorman
Romania	Timiș
Romania	Tulcea
Romania	Vâlcea
Romania	Vaslui
Romania	Vrancea
Russia	Bashkortostan
Russia	Belgorod Oblast
Russia	Chelyabinsk Oblast
Russia	Irkutsk Oblast
Russia	Kaliningrad Oblast
Russia	Kemerovo Oblast
Russia	Krasnodar Krai
Russia	Krasnoyarsk Krai
Russia	Leningrad Oblast
Russia	Moscow
Russia	Moscow Oblast
Russia	Nizhny Novgorod Oblast
Russia	Novosibirsk Oblast
Russia	Perm Krai
Russia	Primorsky Krai
Russia	Rostov Oblast
Russia	Saint Petersburg
Russia	Samara Oblast
Russia	Saratov Oblast
Russia	Stavropol Krai
Russia	Sverdlovsk Oblast
Russia	Tatarstan
Russia	Volgograd Oblast
Russia	Yaroslavl Oblast
Saudi Arabia	Al Madinah
Saudi Arabia	Ar Riyad
Saudi Arabia	Ash Sharqiyah
Saudi Arabia	`Asir
Saudi Arabia	Makkah
Senegal	Dakar
Serbia	Borski
Serbia	Grad Beograd
Serbia	Jablanički
Serbia	Južno-Bački
Serbia	Južno-Banatski
Serbia	Kolubarski
Serbia	Mačvanski
Serbia	Nišavski
Serbia	Podunavski
Serbia	Pomoravski
Serbia	Rasinski
Serbia	Severno-Bački
Serbia	Severno-Banatski
Serbia	Sremski
Serbia	Šumadijski
Serbia	Zaječarski
Serbia	Zlatiborski
Singapore	Central
Singapore	East
Singapore	North
Singapore	North-East
Singapore	West
Slovakia	Banskobystrický
Slovakia	Bratislavský
Slovakia	Košický
Slovakia	Nitriansky
Slovakia	Prešovský
Slovakia	Trenčiansky
Slovakia	Trnavský
Slovakia	Žilinský
Slovenia	Gorenjska
Slovenia	Goriška
Slovenia	Jugovzhodna Slovenija
Slovenia	Osrednjeslovenska
Slovenia	Podravska
Slovenia	Pomurska
Slovenia	Savinjska
South Africa	Eastern Cape
South Africa	Free State
South Africa	Gauteng
South Africa	KwaZulu-Natal
South Africa	Limpopo
South Africa	Mpumalanga
South Africa	Northern Cape
South Africa	North West
South Africa	Western Cape
South Korea	Busan
South Korea	Chungcheongbuk-do
South Korea	Chungcheongnam-do
South Korea	Daegu
South Korea	Daejeon
South Korea	Gangwon-do
South Korea	Gwangju
South Korea	Gyeonggi-do
South Korea	Gyeongsangbuk-do
South Korea	Gyeongsangnam-do
South Korea	Incheon
South Korea	Jeju
South Korea	Jeollanam-do
South Korea	Seoul
South Korea	Ulsan
Spain	Andalucía
Spain	Aragón
Spain	Cantabria
Spain	Castilla-La Mancha
Spain	Castilla y León
Spain	Cataluña
Spain	Comunidad de Madrid
Spain	Comunidad Foral de Navarra
Spain	Comunidad Valenciana
Spain	Extremadura
Spain	Galicia
Spain	Islas Baleares
Spain	Islas Canarias
Spain	La Rioja
Spain	País Vasco
Spain	Principado de Asturias
Spain	Región de Murcia
Sri Lanka	Colombo
Sri Lanka	Gampaha
Sri Lanka	Kalutara
Sri Lanka	Kandy
Sri Lanka	Kurunegala
Sri Lanka	Matara
Sudan	Al Jazirah
Sudan	Khartoum
Sudan	South Darfur
Sweden	Blekinge
Sweden	Dalarna
Sweden	Gävleborg
Sweden	Gotland
Sweden	Halland
Sweden	Jämtland
Sweden	Jönköping
Sweden	Kalmar
Sweden	Kronoberg
Sweden	Norrbotten
Sweden	Orebro
Sweden	Östergötland
Sweden	Skåne
Sweden	Södermanland
Sweden	Stockholm
Sweden	Uppsala
Sweden	Värmland
Sweden	Västerbotten
Sweden	Västernorrland
Sweden	Västmanland
Sweden	Västra Götaland
Switzerland	Aargau
Switzerland	Basel-Landschaft
Switzerland	Basel-Stadt
Switzerland	Bern
Switzerland	Fribourg
Switzerland	Genève
Switzerland	Graubünden
Switzerland	Luzern
Switzerland	Neuchâtel
Switzerland	Schwyz
Switzerland	Solothurn
Switzerland	St. Gallen
Switzerland	Thurgau
Switzerland	Ticino
Switzerland	Valais
Switzerland	Vaud
Switzerland	Zürich
Taiwan	Changhua County
Taiwan	Chiayi City
Taiwan	Chiayi County
Taiwan	Hsinchu City
Taiwan	Hsinchu County
Taiwan	Hualien County
Taiwan	Kaohsiung City
Taiwan	Keelung City
Taiwan	Kinmen County
Taiwan	Miaoli County
Taiwan	Nantou County
Taiwan	New Taipei City
Taiwan	Pingtung County
Taiwan	Taichung City
Taiwan	Tainan City
Taiwan	Taipei City
Taiwan	Taitung County
Taiwan	Taoyuan City
Taiwan	Yilan County
Taiwan	Yunlin County
Tanzania	Dar es Salaam
Thailand	Amnat Charoen
Thailand	Ang Thong
Thailand	Bangkok Metropolis
Thailand	Buri Ram
Thailand	Chachoengsao
Thailand	Chaiyaphum
Thailand	Chanthaburi
Thailand	Chiang Mai
Thailand	Chiang Rai
Thailand	Chon Buri
Thailand	Chumphon
Thailand	Kalasin
Thailand	Kanchanaburi
Thailand	Khon Kaen
Thailand	Krabi
Thailand	Lampang
Thailand	Lamphun
Thailand	Loei
Thailand	Lop Buri
Thailand	Maha Sarakham
Thailand	Nakhon Nayok
Thailand	Nakhon Pathom
Thailand	Nakhon Phanom
Thailand	Nakhon Ratchasima
Thailand	Nakhon Sawan
Thailand	Nakhon Si Thammarat
Thailand	Narathiwat
Thailand	Nonthaburi
Thailand	Pathum Thani
Thailand	Phayao
Thailand	Phetchabun
Thailand	Phetchaburi
Thailand	Phichit
Thailand	Phitsanulok
Thailand	Phra Nakhon Si Ayutthaya
Thailand	Phuket
Thailand	Prachin Buri
Thailand	Prachuap Khiri Khan
Thailand	Ratchaburi
Thailand	Rayong
Thailand	Roi Et
Thailand	Sakon Nakhon
Thailand	Samut Prakan
Thailand	Samut Sakhon
Thailand	Samut Songkhram
Thailand	Saraburi
Thailand	Sing Buri
Thailand	Si Sa Ket
Thailand	Songkhla
Thailand	Suphan Buri
Thailand	Surat Thani
Thailand	Surin
Thailand	Tak
Thailand	Trang
Thailand	Trat
Thailand	Ubon Ratchathani
Thailand	Udon Thani
Thailand	Uthai Thani
Thailand	Yala
Tunisia	Ariana
Tunisia	Ben Arous (Tunis Sud)
Tunisia	Bizerte
Tunisia	Gabès
Tunisia	Gafsa
Tunisia	Manubah
Tunisia	Monastir
Tunisia	Nabeul
Tunisia	Sfax
Tunisia	Sousse
Tunisia	Tunis
Turkey	Adana
Turkey	Afyon
Turkey	Ankara
Turkey	Antalya
Turkey	Aydin
Turkey	Balikesir
Turkey	Bursa
Turkey	Çanakkale
Turkey	Denizli
Turkey	Diyarbakir
Turkey	Eskisehir
Turkey	Gaziantep
Turkey	Hatay
Turkey	Istanbul
Turkey	Izmir
Turkey	Kayseri
Turkey	Kocaeli
Turkey	Konya
Turkey	Malatya
Turkey	Manisa
Turkey	Mersin
Turkey	Mugla
Turkey	Sakarya
Turkey	Samsun
Turkey	Sanliurfa
Turkey	Tekirdag
Turkey	Trabzon
Turkey	Zinguldak
Ukraine	Cherkasy
Ukraine	Chernihiv
Ukraine	Chernivtsi
Ukraine	Dnipropetrovs'k
Ukraine	Donets'k
Ukraine	Ivano-Frankivs'k
Ukraine	Kharkiv
Ukraine	Kherson
Ukraine	Khmel'nyts'kyy
Ukraine	Kiev
Ukraine	Kiev City
Ukraine	Kirovohrad
Ukraine	Kyiv
Ukraine	Kyiv City
Ukraine	Luhans'k
Ukraine	L'viv
Ukraine	Mykolayiv
Ukraine	Odessa
